brewery_id,brewery_pure_average,rating_count,brewery_name,beer_count,age_on_service
391808,3.840555321834245,2377,DIETA / ДИЕТА,37,2.1087495986729454
413974,3.8309178743961354,207,Sever Meadery,15,1.5723927119006849
379299,3.789531079607415,917,Та-Та,20,2.4758073362585615
363965,3.7777777777777786,297,Dogma,26,2.766511263912671
342181,3.7407407407407405,432,Double A Brewing,26,3.120582058005137
236249,3.712656784492588,877,Steppe & Wind Meadery (Степь и Ветер),24,4.648926784567637
460729,3.707070707070707,198,Ashram Cider,16,2.01627414651113
310980,3.666129032258064,620,Samovar Brew,42,3.4321051610659246
418710,3.648674242424243,1056,DaDa Cider,9,1.490494903146404
231950,3.6460807600950114,842,Oka River,122,4.841349729773117
84328,3.6436170212765955,188,Lovecraft Weird Brewery,93,6.753294895119863
312323,3.6339712918660285,418,Snowcap Brewing,27,3.579088184931507
44976,3.6310754604872257,16830,Stamm Brewing,122,7.659878665453767
200677,3.6294729993493817,3074,Black Cat Brewery,76,5.189045778039383
241689,3.6233766233766236,3003,Red Button Brewery,169,4.5591321971318495
188442,3.622364217252397,6260,4BREWERS,160,5.374870906464041
210563,3.6182188065099448,8848,Big Village Brewery,205,5.310161266588185
291298,3.5948275862068964,464,Rustique Pivasique,72,3.8903815282534246
89993,3.594311377245509,668,Cosmic City,51,6.667775444135274
324549,3.5935727788279777,1058,FFF BREW,21,3.414440081870719
135208,3.5871155937901715,20226,Zagovor Brewery,151,6.090841716609589
255782,3.5832187070151305,727,Пивная Диета (Beer Diet),5,4.537376926369863
157904,3.5814767663908347,3142,Sabotage,28,5.807872030179794
310414,3.5560747663551395,5350,Wild Lab,64,3.6188021725171233
411849,3.550515463917525,485,Applehead,16,1.667957713505993
386988,3.5465898174831896,1041,Gravity Project,11,2.2704723619434932
97048,3.54389721627409,467,Пётр Петрович (Petr Petrovich),46,6.566517283818493
452091,3.541119557705598,1447,Circada,7,0.571974203031357
327074,3.5371287128712874,404,Заповедник,5,3.372651233411815
209623,3.509316770186336,644,Green Street Brewery,136,4.996847575984589
413102,3.50873786407767,515,Time Bomb Brewery,15,1.6103181185787672
325536,3.5068236847897865,9086,Selfmade Brewery,81,3.3883692075128424
223911,3.4939655172413797,1160,GAS Brew,97,4.8467659728167805
104878,3.4882180810103183,6493,Plan B Brewery,187,6.465901246789383
231873,3.479907264296754,6470,Ostrovica,108,4.723942837649829
213332,3.4735313105229175,3098,Hophead Brewery,109,5.007578726990582
200065,3.4729811778992117,1647,Bottle Share,82,4.974894986087329
412487,3.4683291770573565,2005,Lux In Tenebris,30,1.5744087114726026
360552,3.460017196904557,1163,BrewT!,19,2.8323917754708905
354563,3.451827242524917,301,DARKSIDE,15,2.9328181854666098
384494,3.4506030279702333,3897,COVEN Brewery,28,2.3480727940389556
116251,3.450152905198777,1635,Paradox,64,6.317236997003425
423372,3.4419889502762424,362,Bowl Cut Brewery,10,1.3587012722067637
337614,3.4262125902992775,969,RMBrew,16,3.199106043985445
301549,3.4222896133434424,1319,Brew Division,48,3.64037651166524
38368,3.4204579118879344,23629,AF Brew,179,7.8513892604880136
271235,3.4191709844559592,1930,Zavod,98,4.140830011237157
95242,3.4101902612060635,9303,Salden's Brewery,514,6.591497886344178
53009,3.409392999556934,2257,Velka Morava,83,7.443732609160959
331829,3.4066095471236246,8170,Rewort Brewery,138,3.2976585910744864
75763,3.4016028495102404,2246,Токсовская Сидрерия (On The Bones),97,6.922818118578767
414117,3.3975903614457827,166,Голубчик ❋ Golubchik,14,1.6057140611622431
36782,3.3966509680795407,1911,One Ton Brewery (Пивоварня Одна Тонна),153,7.911061242508562
210255,3.3915316793110506,9754,Brewlok Brewery,198,5.050591288527397
29772,3.3899791986976577,11057,Jaws Brewery,133,8.18040119327911
386342,3.386771300448431,892,Appleton Ciders,28,2.3005556707512844
381095,3.382636655948553,311,ColdRiver,13,2.4300408350278255
275420,3.3815937149270487,891,Hausmann Brewery,44,4.058547931827911
425643,3.380434782608696,644,Brewmen,31,1.2406683934877996
201427,3.379746835443038,948,GUSI,45,5.178190215646404
344561,3.3766066838046274,3890,Пивоварня Чаща / Thicket Brewery,39,3.0926088934075344
158657,3.373050530255771,1603,Augustine (Августин),52,5.801080238655822
441050,3.3677884615384617,416,Dreamteam Brewing Co,7,0.9096357789758134
357947,3.3653061224489798,490,Bullevie,10,2.8782892096532535
370320,3.365079365079365,1512,Лось и Кедр (Moose & Cedar),37,2.6263655153039385
239419,3.355691056910568,984,Медоварня Традиции Предков,12,4.594684423159246
395964,3.353550295857988,676,Rock'n'Beer,25,2.011300868204195
424601,3.350427350427351,468,Pike Season Brewery,7,1.317165008962971
241131,3.3326633165829134,995,Nuclear Brewery,19,4.572884337542808
139377,3.324699110413396,3822,Panzer Brewery,46,5.56934463291952
334091,3.3131498470948024,1635,CHIBIS Brewery,40,3.264677868150685
339790,3.300613496932516,489,MANFAS Brewery,31,3.1607418530607876
232505,3.3000000000000007,330,Пиратская Пивоварня Йохохо,119,4.709589375535103
439105,3.294117647058824,170,Brewerich,29,0.9423582312178939
363117,3.291079812206573,426,Solbirs Brewery,38,2.782752468161387
73864,3.2899082568807323,10900,Bakunin Brewing Co.,229,6.955947666952055
301347,3.2813280971081737,2801,XP Brew,145,3.744305503531678
421430,3.2741092636579565,2105,Pivot Point,28,1.4080078125
46620,3.2684210526315787,380,Фонтан / Кваспром,10,7.61982421875
342071,3.2669683257918547,442,Seven Hills Brewing Co.,35,3.120573028146404
12920,3.26321353065539,946,Knightberg,87,9.059506100171232
205967,3.259887005649717,177,Black Head Brew,75,5.112156865368151
312193,3.2578167855183766,3646,Alaska Brewery,41,3.5909283363655824
163024,3.2570921985815597,564,Trigger,52,5.734389046446918
420574,3.253399258343634,809,Brew Fiction,37,1.2462814540079195
246540,3.245033112582781,151,Melody Brew,41,4.500353836686644
214237,3.2429378531073447,177,Endemic Mountain Brewery,43,4.994499478274829
162826,3.239308462238398,1099,Courage Brewery,50,5.739202964469178
418292,3.234946871310508,847,Rocket City Brewery,15,1.5082768688463184
436118,3.2328571428571435,700,Symbiotica by AF Brew × BSG,11,1.0304938329409246
240426,3.210591133004927,4872,Konix Brewery,52,4.580866063784247
151307,3.204013377926422,299,ID Jons,14,5.896107127568493
324098,3.2025227750525582,1427,Atmosphere Brewery,31,3.4235264608304794
122110,3.202008928571429,896,Schwarz Kaiser Brewery,55,6.243653681506849
236426,3.200631911532385,633,Landau Beerlab,25,4.614566165453767
320515,3.1805140466228323,1673,LiS Brew,22,3.480800179259418
70026,3.180412371134021,194,ID Brewery,37,7.03245197452911
82343,3.1722054380664635,2317,Victory Art Brew,182,6.793855682791096
35255,3.16883586406363,2766,Gletcher Brewery (Глетчер),25,6.952471505779109
423378,3.1402214022140225,271,Крафт Лаборатория,14,1.3619788600973888
64622,3.1389992057188243,2518,New Riga's Brewery,77,7.152591235017123
42694,3.1328320802005005,798,Yablochny Spas (Яблочный Спас),30,7.725253504922946
284545,3.117857142857143,280,Beer Bros Brewery,14,3.9781343642979454
305986,3.093390804597701,696,Mookhomor Production,32,3.6811804366438357
51452,3.0918163672654684,1002,LaBEERint Brewery,146,7.486473940496575
160567,3.08539603960396,808,NoName Brew,20,5.772119140625
234458,3.0625,480,Varyag Brewery (Пивоварня Варяг),16,4.67525283604452
396909,3.062146892655367,531,Пивоварня Якорь,42,2.0488040453767122
277349,3.0488599348534198,614,ТАРКОС BREWLAB,51,3.940012641802226
310155,3.0465116279069777,172,Pivzavod77 Brewery & Pub,35,3.6209669975385275
221835,3.045189504373178,686,Chester's,6,4.882048306399828
28235,3.027090694935218,849,Medovarus,23,8.240002274186644
60711,3.015625,896,Suzdal Brewery (Суздальская Пивоварня),16,7.253741037029109
179243,3.011218568665376,5170,Wolf's Brewery (Волковская Пивоварня),75,5.5128250749143834
10410,3.0037375415282406,2408,Vasileostrovskaya Brewery (Василеостровская Пивоварня),84,9.24564426369863
402617,3.00259067357513,386,Hammermill Brewery (Бутлегер),26,1.917467258401113
381536,2.9888475836431225,269,MainStream Brewery,12,2.420943252354452
