brewery_id,brewery_pure_average,rating_count,brewery_name,beer_count,age_on_service
413974,3.8509615384615388,208,Sever Meadery,15,1.5723927123287673
391808,3.840788476118271,2638,DIETA / ДИЕТА,37,2.108749589041096
363965,3.8187702265372168,309,Dogma,26,2.7665112328767125
379299,3.792031098153547,1029,Та-Та,20,2.475807397260274
342181,3.722222222222222,432,Double A Brewing,26,3.120582191780822
460729,3.683453237410071,278,Ashram Cider,16,2.0162741369863015
236249,3.6777978339350175,1108,Steppe & Wind Meadery (Степь и Ветер),24,4.648926849315068
310980,3.6747159090909087,704,Samovar Brew,42,3.432105205479452
418710,3.6365280289330917,1106,DaDa Cider,9,1.490494904109589
44976,3.6361360317129146,19172,Stamm Brewing,122,7.659878630136986
200677,3.634712712116702,3359,Black Cat Brewery,76,5.189045753424658
241689,3.6329852579852586,3256,Red Button Brewery,169,4.559132328767124
231950,3.632941176470588,850,Oka River,122,4.841349863013699
188442,3.622119205298014,7550,4BREWERS,160,5.3748709589041095
84328,3.619318181818181,176,Lovecraft Weird Brewery,93,6.753294794520548
210563,3.6176412092283208,10056,Big Village Brewery,205,5.310161369863014
312323,3.6024390243902444,410,Snowcap Brewing,27,3.579088219178082
135208,3.5903593184426574,22654,Zagovor Brewery,151,6.090841643835617
324549,3.589698046181173,1126,FFF BREW,21,3.4144400000000004
291298,3.588693957115009,513,Rustique Pivasique,72,3.8903816438356165
255782,3.5810276679841895,759,Пивная Диета (Beer Diet),5,4.5373769863013695
157904,3.568137117167744,3559,Sabotage,28,5.8078720547945215
411849,3.552894211576846,501,Applehead,16,1.6679577260273972
310414,3.5518192791860663,5799,Wild Lab,64,3.6188021917808224
386988,3.545212765957447,1128,Gravity Project,11,2.270472328767123
97048,3.541751527494909,491,Пётр Петрович (Petr Petrovich),46,6.566517260273972
327074,3.5382775119617222,418,Заповедник,5,3.3726512328767124
223911,3.5368906455862987,1518,GAS Brew,97,4.84676602739726
452091,3.5275229357798166,1526,Circada,7,0.5719741917808219
89993,3.5271604938271603,810,Cosmic City,51,6.667775342465753
413102,3.511111111111111,540,Time Bomb Brewery,15,1.6103180821917809
325536,3.507704387084112,10189,Selfmade Brewery,81,3.388369315068493
209623,3.507668711656442,652,Green Street Brewery,136,4.996847671232877
104878,3.4931278633902556,7203,Plan B Brewery,187,6.465901369863014
200065,3.4879551820728287,1785,Bottle Share,82,4.974895068493151
354563,3.484732824427481,262,DARKSIDE,15,2.9328180821917806
231873,3.471286581998896,7244,Ostrovica,108,4.723942739726027
213332,3.470200658879904,3339,Hophead Brewery,109,5.007578630136987
360552,3.4651340996168583,1305,BrewT!,19,2.832391780821918
116251,3.45618305744888,2054,Paradox,64,6.31723698630137
412487,3.4552102376599634,2188,Lux In Tenebris,30,1.5744087671232878
384494,3.445422116527943,4205,COVEN Brewery,28,2.3480728767123287
423372,3.436046511627907,344,Bowl Cut Brewery,10,1.3587012602739725
301549,3.423186344238975,1406,Brew Division,48,3.6403764383561645
337614,3.41890639481001,1079,RMBrew,16,3.1991060273972605
271235,3.418338108882523,2094,Zavod,98,4.140830136986302
38368,3.4141955020495587,27079,AF Brew,179,7.85138904109589
95242,3.401063425750093,10532,Salden's Brewery,514,6.591497808219177
53009,3.398896334253053,2537,Velka Morava,83,7.4437326027397255
331829,3.39844014920312,8847,Rewort Brewery,138,3.297658630136987
75763,3.3960558751027112,2434,Токсовская Сидрерия (On The Bones),97,6.92281808219178
36782,3.3907156673114125,2068,One Ton Brewery (Пивоварня Одна Тонна),153,7.911061369863014
210255,3.387796312554874,11390,Brewlok Brewery,198,5.050591232876712
29772,3.383243199612562,12389,Jaws Brewery,133,8.18040109589041
381095,3.3803278688524583,305,ColdRiver,13,2.430040821917808
344561,3.379816112084063,4568,Пивоварня Чаща / Thicket Brewery,39,3.092608767123288
386342,3.372793354101765,963,Appleton Ciders,28,2.300555616438356
395964,3.369509043927649,774,Rock'n'Beer,25,2.0113008219178083
158657,3.3686635944700463,1736,Augustine (Августин),52,5.801080273972603
370320,3.3665653495440733,1645,Лось и Кедр (Moose & Cedar),37,2.626365479452055
275420,3.3654822335025374,985,Hausmann Brewery,44,4.058547945205479
201427,3.365046535677353,967,GUSI,45,5.178190136986301
424601,3.350840336134454,476,Pike Season Brewery,7,1.3171650136986301
239419,3.3452054794520554,1095,Медоварня Традиции Предков,12,4.594684383561644
441050,3.3333333333333335,438,Dreamteam Brewing Co,7,0.9096357808219179
357947,3.330058939096267,509,Bullevie,10,2.8782893150684927
139377,3.325752191423834,4221,Panzer Brewery,46,5.569344657534247
334091,3.3257452574525748,1845,CHIBIS Brewery,40,3.2646778082191785
241131,3.314901593252108,1067,Nuclear Brewery,19,4.572884383561644
339790,3.2969924812030076,532,MANFAS Brewery,31,3.1607419178082194
73864,3.292278501897373,12122,Bakunin Brewing Co.,229,6.955947945205479
363117,3.2919254658385086,483,Solbirs Brewery,38,2.7827524657534246
